name,AverageShortestPathLength,ClosenessCentrality,NeighborhoodConnectivity,TopologicalCoefficient,Label
AATF,2.609981516,0.383144476,72.58823529,0.161666448,1
MEFV,2.576709797,0.388091822,64.25,0.137875536,1
CEBPZ,3.120147874,0.32049763,18,0.165986395,1
PNO1,2.964879852,0.337281796,23.5,0.139880952,1
ATM,2.146025878,0.465977606,67.375,0.080869848,1
CFLAR,2.368761553,0.422161529,91.95121951,0.13932003,1
PAWR,2.536968577,0.39417122,56.65,0.111683168,1
SP1,2.173752311,0.460034014,74.25,0.089548988,1
E2F1,2.378003697,0.420520793,79,0.120941807,1
CASP8,2.089648799,0.478549314,75.04273504,0.086156986,1
MAK16,3.068391867,0.325903614,27.83333333,0.224462366,1
JUN,1.913123845,0.522705314,67.94883721,0.07055954,1
HDAC1,2.11922366,0.471870911,63.54545455,0.074759358,1
AR,2.034195933,0.49159473,68.07971014,0.074469603,1
CHEK2,2.358595194,0.423981191,70.01923077,0.106544901,1
NLRP1,2.737523105,0.36529372,60.2173913,0.184151044,1
DHRS11,2.666358595,0.375043328,48.625,0.123101266,1
MYC,1.864140481,0.536440258,63,0.06389035,1
ABCA2,3.126617375,0.319834466,19,0.185185185,1
ATP12A,2.54805915,0.392455568,53.36363636,0.105580558,1
HSD11B1,2.586876155,0.386566631,52.38888889,0.113155363,1
APBB2,3.184842884,0.313987232,24.75,0.310126582,1
APOA4,2.638632163,0.378984238,40.3030303,0.098707665,1
COASY,2.57116451,0.388928828,39.86206897,0.084806955,1
FXYD1,2.890018484,0.346018548,31.5,0.149038462,1
ABCA4,3.631238447,0.275388139,15,0.576923077,1
CFB,2.636783734,0.379249912,48.84,0.118256659,1
ARMS2,3.085951941,0.324049117,37.4,0.273529412,1
ABCB1,2.285582255,0.437525273,88.2195122,0.118415453,1
APEX1,2.281885397,0.438234103,74.92156863,0.100836566,1
IL2,2.001848429,0.499538319,75.28947368,0.080949349,1
CCND1,1.99168207,0.502088167,70.95121951,0.076291634,1
NANOG,2.227356747,0.448962656,80.01492537,0.103112017,1
ABCG2,2.314232902,0.432108626,88.6744186,0.124193864,1
EGR1,2.126617375,0.470230335,77.21590909,0.089460655,1
LGALS3,2.257855823,0.442898076,89.15384615,0.117128273,1
POU5F1,2.217190388,0.451021259,77.39189189,0.098966614,1
LRPPRC,2.621996303,0.381388791,49.58823529,0.112311591,1
PPIG,2.361367837,0.423483366,50.63265306,0.07648437,1
XRCC1,2.561922366,0.39033189,58.95652174,0.12106062,1
FGF2,2.053604436,0.486948695,75.53543307,0.083556895,1
STAT3,1.881700555,0.531434185,68.8220339,0.070442205,1
EGF,1.865064695,0.53617443,65.75105485,0.066281305,1
NOTCH1,1.990757856,0.502321263,68.67878788,0.073914604,1
HMGCR,2.376155268,0.420847919,40.68085106,0.063135985,1
HPGDS,2.194085028,0.455770851,72.68571429,0.089624802,1
CEBPB,2.299445471,0.43488746,72.75,0.101016865,1
HSPA5,2.068391867,0.483467382,61.71794872,0.069103473,1
CYP2B6,2.402033272,0.416313967,47.09090909,0.075953079,1
HSP90AA1,1.941774492,0.514992861,63.17894737,0.066017709,1
NR1I2,2.54805915,0.392455568,48.125,0.097053872,1
CYP3A4,2.406654344,0.415514593,41.89795918,0.068572765,1
CAV1,2.070240296,0.483035714,79.42708333,0.087079678,1
CYP1A2,2.621996303,0.381388791,34.87096774,0.082437276,1
IL17A,2.123844732,0.470844212,78.3362069,0.093257389,1
CES1,2.813308688,0.355453351,33.88235294,0.121231288,1
NR1I3,2.71349353,0.36852861,47.6,0.133707865,1
PTEN,1.961182994,0.509896324,67.97159091,0.071693997,1
UGCG,2.80961183,0.355921053,31.35714286,0.112429087,1
GSTP1,2.354898336,0.424646782,67.25,0.099482249,1
ABCC1,2.509242144,0.398526703,58.57142857,0.1094168,1
CLDN5,2.521256932,0.396627566,98.15384615,0.185050798,1
FOXO3,2.11922366,0.471870911,77.60606061,0.090449954,1
OPRM1,2.231053604,0.448218724,65.15,0.08578722,1
CD44,2.081330869,0.480461812,76.64925373,0.088714414,1
BRCA1,2.161737523,0.462590851,70.36263736,0.085184791,1
GSR,2.315157116,0.431936128,57.64444444,0.081849747,1
SPHK2,2.685767098,0.372333104,45.73333333,0.120316623,1
VCP,2.18207024,0.45828039,51.71052632,0.063588399,1
DPP4,2.348428835,0.425816608,64.69387755,0.096558026,1
ABCG1,2.634935305,0.379515959,43,0.10478424,1
MCU,2.780961183,0.359587903,31.1875,0.109929078,1
BCL2,2.370609982,0.421832359,68.88372093,0.10541686,1
ATP5A1,2.519408503,0.396918562,40.13157895,0.078432382,1
CHEK1,2.365988909,0.42265625,71.20754717,0.109689799,1
PTGES3,2.359519409,0.423815119,62.175,0.092798507,1
CDKN2A,2.07948244,0.480888889,74.81355932,0.084726568,1
ABCC9,3.292051756,0.303761931,20.66666667,0.356725146,1
RYR2,2.560073937,0.390613718,35.51851852,0.074463119,1
DSG2,2.616451017,0.382197103,34.18181818,0.080403087,1
